,all,de,deup,der,mc,gpr
nlpd_samples,-0.028522,-0.083776,0.021494,-0.028984,-0.057306,-0.072806
nlpd_minimizer,0.012808,-0.070694,0.028649,0.025771,-0.041934,-0.037732
