,acquisition,e_num_hidden_layers,e_units,ensemble_size,init_buffer_iters,lr,maxi_rate,model,nlpd_difference_mean,nlpd_difference_var,nlpd_end_mean,nlpd_end_var,nlpd_minimizer_difference_mean,nlpd_minimizer_difference_var,nlpd_minimizer_end_mean,nlpd_minimizer_end_var,nlpd_minimizer_start_mean,nlpd_minimizer_start_var,nlpd_start_mean,nlpd_start_var,num_hidden_layers,num_inducing_points,num_passes,num_steps,objective,rate,reg_weight,units
190,ts,,,,,,,gpr,-7902919.116240126,14557412662710.26,166425.470272343,5443102934.3959875,-3998688.673110618,53262626390564.01,164383.7303198418,35316012294.715256,4163072.403430459,55633676546703.625,8069344.586512469,14885167246856.213,,,,500,hartmann6,,,
191,ts,,,,,,,gpr,,,,,,,,,,,,,,,,50,hartmann6,,,
192,ei,,,,,,,gpr,-64611564.61472247,27449557664894.547,1764262.1787595395,382995944951.6278,-87728583.61339977,2042855170638973.5,5456312.115399777,18035668808125.81,93184895.72879954,1749608362955369.8,66375826.79348202,23364261085565.758,,,,500,ackley5,,,
193,ei,,,,,,,gpr,,,,,,,,,,,,,,,,50,ackley5,,,
194,ts,,,,,,,gpr,-60313668.05497731,49048851381325.516,2321308.966123021,634286217140.4265,-94950861.68840262,1880310949278.2847,1377161.6329729755,226426082171.559,96328023.3213756,1689607155205.3286,62634977.02110033,42523446607100.86,,,,500,ackley5,,,
195,ts,,,,,,,gpr,,,,,,,,,,,,,,,,50,ackley5,,,
196,ei,,,,,,,gpr,,,,,,,,,,,,,,,,500,noisy_shekel4,,,
197,ei,,,,,,,gpr,,,,,,,,,,,,,,,,50,noisy_shekel4,,,
198,ts,,,,,,,gpr,,,,,,,,,,,,,,,,500,noisy_shekel4,,,
199,ts,,,,,,,gpr,-33989652.9455155,34814660102217.406,786573.6107016697,21923247630.435257,-36352208.17675282,21725729270255.645,349741.8188911976,32900523350.645397,36701949.995644026,20728832514211.098,34776226.55621717,33910772655622.46,,,,50,noisy_shekel4,,,
200,ei,,,,,,,gpr,,,,,,,,,,,,,,,,500,noisy_hartmann6,,,
201,ei,,,,,,,gpr,,,,,,,,,,,,,,,,50,noisy_hartmann6,,,
202,ts,,,,,,,gpr,,,,,,,,,,,,,,,,500,noisy_hartmann6,,,
203,ts,,,,,,,gpr,-36512248.74807971,28694775370769.46,19326.35100914146,76685146.86399803,-37670816.238620564,16191206915844.121,355.6972377260527,706419.9417104002,37671171.935858294,16188849817903.238,36531575.09908886,28728049763664.008,,,,50,noisy_hartmann6,,,
204,ei,,,,,,,gpr,,,,,,,,,,,,,,,,500,noisy_ackley5,,,
205,ei,,,,,,,gpr,,,,,,,,,,,,,,,,50,noisy_ackley5,,,
206,ts,,,,,,,gpr,,,,,,,,,,,,,,,,500,noisy_ackley5,,,
207,ts,,,,,,,gpr,-88438785.04415259,35291705184502.83,623235.0013065047,15193466148.158176,-96032568.56099454,21018750107557.105,525047.4774032239,59370214978.9551,96557616.03839774,22126252510919.332,89062020.0454591,34826320018344.242,,,,50,noisy_ackley5,,,
208,ei,,,,,0.001,,mc,-1640502788.634097,6.0507597766365e+18,138665.39558393802,26166445171.38249,-985752275.1629553,1.7415444804535073e+18,25180.57217910086,1178410042.8806689,985777455.7351345,1.7415702491810506e+18,1640641454.0296805,6.051482972450821e+18,5,,50,500,scaled_branin,0.1,,100
209,ei,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,50,scaled_branin,0.1,,100
210,ts,,,,,0.001,,mc,-3270095628.502873,8.786952185622888e+18,180680.6046418015,50613512283.0697,-1034338799.7561628,7.667625149149748e+17,19062.60502475315,1990418822.4106474,1034357862.3611875,7.667901054328902e+17,3270276309.1075153,8.787779240275831e+18,5,,50,500,scaled_branin,0.1,,100
211,ts,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,50,scaled_branin,0.1,,100
212,ei,,,,,0.001,,mc,-657770332.9349384,3.7366185878116936e+16,1160901.3576749095,787679989787.6948,-11141373.144557336,385957565845789.9,-1504.0571552344122,731610.4606072751,11139869.087402102,385973159147036.56,658931234.2926134,3.759777105722437e+16,5,,50,500,michal2,0.1,,100
213,ei,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,50,michal2,0.1,,100
214,ts,,,,,0.001,,mc,-920375748.0761646,8.545513041687016e+16,1419109.219950496,693685216001.5885,6286720.978231311,20894917552373.293,-2481.153263540791,3376507.437259138,-6289202.131494853,20902954923886.26,921794857.296115,8.572968486938664e+16,5,,50,500,michal2,0.1,,100
215,ts,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,50,michal2,0.1,,100
216,ei,,,,,0.001,,mc,-233917923.46004614,1.2735582556984346e+16,196316.057398405,32414247861.68402,-111750191.06510772,3378032684271827.5,29445.34815070097,1651998527.3078601,111779636.4132584,3375784274869641.0,234114239.5174446,1.2771642081193562e+16,5,,50,500,goldstein2,0.1,,100
217,ei,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,50,goldstein2,0.1,,100
218,ts,,,,,0.001,,mc,-357546188.08875036,1.5162277277364832e+17,168176.17524155087,18913864453.01268,-64078916.962700225,118287935054846.6,-1102.0041631812348,22571810.485689703,64077814.95853705,118281915353983.86,357714364.2639919,1.5166954383255808e+17,5,,50,500,goldstein2,0.1,,100
219,ts,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,50,goldstein2,0.1,,100
220,ei,,,,,0.001,,mc,-286534728.8161495,1.45252708776728e+16,76422.0319380448,1968589437.4811072,-40864179.034511216,141927835109043.56,2514.558552862539,106105772.59341006,40866693.59306407,142117950390303.6,286611150.8480875,1.4523996586377024e+16,5,,50,500,hartmann3,0.1,,100
221,ei,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,50,hartmann3,0.1,,100
222,ts,,,,,0.001,,mc,-393685606.7187254,5.815348423554123e+16,98916.53736208379,2951655948.0817204,-44552093.398317754,240582304350758.62,-5427.6903655999995,4409258.562215008,44546665.707952164,240553831870308.38,393784523.2560875,5.816025829428623e+16,5,,50,500,hartmann3,0.1,,100
223,ts,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,50,hartmann3,0.1,,100
224,ei,,,,,0.001,,mc,-11038204.341908645,1343133528030731.5,18027491.169993285,381792537059818.4,35703934.01865454,56408780716030.4,9651385.316519134,96497432136084.8,-26052548.7021354,105205269953287.27,29065695.511901934,2400712592714107.0,5,,50,500,shekel4,0.1,,100
225,ei,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,50,shekel4,0.1,,100
226,ts,,,,,0.001,,mc,2304244.3130453397,424733226160620.44,21992289.80848549,513987519671627.3,39349079.49348891,80671615841932.3,4237835.230581061,125144664057039.55,-35111244.262907855,35372745000798.695,19688045.49544015,1200221564942365.5,5,,50,500,shekel4,0.1,,100
227,ts,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,50,shekel4,0.1,,100
228,ei,,,,,0.001,,mc,-41934061.970162675,4926552360545958.0,452024.39600494504,643475354711.5654,-200269.1322483525,4877624405349.592,35324.596659081246,392428112.25697577,235593.72890743372,4916970576032.555,42386086.36616762,5038981068175298.0,5,,50,500,dropw2,0.1,,100
229,ei,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,50,dropw2,0.1,,100
230,ts,,,,,0.001,,mc,-64397778.86002823,9218676363133974.0,721748.96530982,985973971394.2595,200035.81716160444,7567565118510.698,29890.59725322811,229671468.61765915,-170145.2199083762,7579467476966.778,65119527.82533805,9408175259795210.0,5,,50,500,dropw2,0.1,,100
231,ts,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,50,dropw2,0.1,,100
232,ei,,,,,0.001,,mc,-304900.160581524,32614146781.340157,55.96608611618849,1207.5769394617885,-118484.2631536064,659582553.9757669,21.595946256630302,193.08990939920568,118505.85909986302,659450007.7769611,304956.1266676402,32612840076.30249,5,,50,500,eggho2,0.1,,100
233,ei,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,50,eggho2,0.1,,100
234,ts,,,,,0.001,,mc,-360734.13194445235,57760419531.507034,72.11362444750159,7299.147261806618,-164011.8624881346,19139892053.936337,37.669595410765766,2780.036450756409,164049.53208354537,19146704823.599796,360806.2455688999,57790305040.881386,5,,50,500,eggho2,0.1,,100
235,ts,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,50,eggho2,0.1,,100
236,ei,,,,,0.001,,mc,102953719.38708004,95353194828718.66,-9586.141905124829,4990636.915402484,189455060.8332169,177081727801077.3,-21159.654649659125,9245543.187390234,-189476220.48786658,177110906970245.16,-102963305.52898517,95392675025317.47,5,,50,500,rosenbrock4,0.1,,100
237,ei,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,50,rosenbrock4,0.1,,100
238,ts,,,,,0.001,,mc,105795658.04513673,11110722248400.1,-9945.564187864922,942010.196905074,201637495.76858822,258744152568969.0,-23837.25222372198,42422993.53146474,-201661333.02081195,258690538763531.9,-105805603.6093246,11114330677447.094,5,,50,500,rosenbrock4,0.1,,100
239,ts,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,50,rosenbrock4,0.1,,100
240,ei,,,,,0.001,,mc,-64935001.77931484,2528444327934280.0,450068.34938765754,190633449223.2418,-6369859.341056129,180364593568590.16,112330.80968155884,16289979562.286676,6482190.150737688,180063321284051.62,65385070.128702484,2531623391259907.0,5,,50,500,hartmann6,0.1,,100
241,ei,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,50,hartmann6,0.1,,100
242,ts,,,,,0.001,,mc,-56264680.00174192,1910193008450201.5,432270.4577932736,120324866101.30676,-3887254.9792984864,99171512604579.97,127296.51979134127,26614764126.351208,4014551.499089828,97709164017693.78,56696950.4595352,1914619891253681.2,5,,50,500,hartmann6,0.1,,100
243,ts,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,50,hartmann6,0.1,,100
244,ei,,,,,0.001,,mc,-106181567.08064575,12924380295252.688,339300.3475553238,9417915253.332088,-67500831.66860417,12504165062766.996,35522.17565957915,114211735.84768601,67536353.84426373,12506561186198.379,106520867.42820106,12540552978029.434,5,,50,500,ackley5,0.1,,100
245,ei,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,50,ackley5,0.1,,100
246,ts,,,,,0.001,,mc,-106394626.22895655,12802604088418.297,331463.7468628432,7746073333.2920685,-47319130.358445585,5612971550230.689,45183.19438327638,78578712.3072884,47364313.55282887,5615704478387.049,106726089.97581938,12634313160345.617,5,,50,500,ackley5,0.1,,100
247,ts,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,50,ackley5,0.1,,100
248,ei,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,500,noisy_shekel4,0.1,,100
249,ei,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,50,noisy_shekel4,0.1,,100
250,ts,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,500,noisy_shekel4,0.1,,100
251,ts,,,,,0.001,,mc,-310752730.2182204,5.496478650582446e+17,66338899.68512138,3640022447077201.5,10128842.431684166,13166468077877.004,1092329.9394537045,3241703279260.9893,-9036512.492230462,17022393787235.521,377091629.9033418,6.108987368650683e+17,5,,50,50,noisy_shekel4,0.1,,100
252,ei,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,500,noisy_hartmann6,0.1,,100
253,ei,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,50,noisy_hartmann6,0.1,,100
254,ts,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,500,noisy_hartmann6,0.1,,100
255,ts,,,,,0.001,,mc,-49647723.67287067,638562168142247.8,488280.70839438634,198833845539.42685,-17648964.65102594,25938169719595.645,54935.28204934156,6181165869.6552,17703899.93307528,25375205813837.55,50136004.38126507,659949343083600.6,5,,50,50,noisy_hartmann6,0.1,,100
256,ei,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,500,noisy_ackley5,0.1,,100
257,ei,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,50,noisy_ackley5,0.1,,100
258,ts,,,,,0.001,,mc,,,,,,,,,,,,,5,,50,500,noisy_ackley5,0.1,,100
259,ts,,,,,0.001,,mc,-98804095.6494288,18518427235791.453,366465.651802034,4479658240.526714,-60052567.51111603,10420184442665.387,60924.592180265834,354319055.16007125,60113492.103296295,10470700014411.154,99170561.30123082,18240775889068.383,5,,50,50,noisy_ackley5,0.1,,100
260,ts,,,,,,,svgp,-24189297018.385414,2.3094447235751117e+19,9045692.731226856,2860747672391.6963,-59444239351.22341,1.2295235393782224e+21,58599314.41513082,663075600501504.2,59502838665.63855,1.2312601213669805e+21,24198342711.11664,2.310735015757153e+19,,500,,50,noisy_ackley5,,,
261,ts,,,,,,,svgp,-21118918.598385394,4700040466712.279,144800.36295418028,2258880188.7348022,-14674919.374391234,2751312159889.069,110505.62632870421,8982475050.347033,14785425.000719938,2867017657720.192,21263718.96133957,4600996399072.615,,500,,50,noisy_hartmann6,,,
262,ts,,,,,,,svgp,-2923745.7428857656,142041343943766.6,3457180.4327529767,3845339221621.5444,1306483.7878358043,29022346631301.844,10174583.32608963,51511050361945.83,8868099.538253825,18665127165674.555,6380926.175638742,114734145894506.95,,500,,50,noisy_shekel4,,,
