model,objective,acquisition,num_initial_points,num_steps,seed,true_min,found_minimum,steps_taken,acquisition_runtime,optimize_runtime,num_hidden_layers,units,reg_weight,maxi_rate,lr,pickle_file
new_der_log,dropw2,ei,20,500,4,-1,-0.801167727,500,715.908,4638.789,4,100,0.001,0.01,0.001,new_der_log_ei_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed4.pkl
new_der_log,dropw2,ei,20,500,16,-1,-0.936245328,500,574.328,4776.908,4,100,0.001,0.01,0.001,new_der_log_ei_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed16.pkl
new_der_log,dropw2,ei,20,500,18,-1,-0.78575129,500,679.332,4750.532,4,100,0.001,0.01,0.001,new_der_log_ei_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed18.pkl
new_der_log,dropw2,ei,20,500,17,-1,-0.619499401,500,818.627,4777.359,4,100,0.001,0.01,0.001,new_der_log_ei_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed17.pkl
new_der_log,dropw2,ei,20,500,19,-1,-0.619499196,500,764.78,4824.638,4,100,0.001,0.01,0.001,new_der_log_ei_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed19.pkl
new_der_log,dropw2,ts,20,500,10,-1,-0.936244898,500,22.423,16879.098,4,100,0.001,0.01,0.001,new_der_log_ts_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed10.pkl
new_der_log,dropw2,ts,20,500,11,-1,-0.990845922,500,22.318,16958.354,4,100,0.001,0.01,0.001,new_der_log_ts_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed11.pkl
new_der_log,dropw2,ts,20,500,5,-1,-0.93624531,500,22.37,17299.772,4,100,0.001,0.01,0.001,new_der_log_ts_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed5.pkl
new_der_log,dropw2,ts,20,500,2,-1,-0.999295803,500,22.158,17349.531,4,100,0.001,0.01,0.001,new_der_log_ts_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed2.pkl
new_der_log,dropw2,ts,20,500,3,-1,-0.936245299,500,22.118,17360.062,4,100,0.001,0.01,0.001,new_der_log_ts_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed3.pkl
new_der_log,dropw2,ts,20,500,0,-1,-0.936245327,500,22.314,17570.839,4,100,0.001,0.01,0.001,new_der_log_ts_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed0.pkl
new_der_log,dropw2,ts,20,500,7,-1,-0.936243707,500,22.413,17678.548,4,100,0.001,0.01,0.001,new_der_log_ts_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed7.pkl
new_der_log,dropw2,ts,20,500,1,-1,-0.936245129,500,21.928,18273.245,4,100,0.001,0.01,0.001,new_der_log_ts_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed1.pkl
new_der_log,dropw2,ts,20,500,6,-1,-0.936245328,500,22.343,18467.487,4,100,0.001,0.01,0.001,new_der_log_ts_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed6.pkl
new_der_log,dropw2,ts,20,500,8,-1,-0.999335341,500,22.5,18472.61,4,100,0.001,0.01,0.001,new_der_log_ts_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed8.pkl
new_der_log,dropw2,ts,20,500,4,-1,-0.785751332,500,22.263,19050.202,4,100,0.001,0.01,0.001,new_der_log_ts_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed4.pkl
new_der_log,dropw2,ts,20,500,9,-1,-0.936245293,500,22.613,19310.39,4,100,0.001,0.01,0.001,new_der_log_ts_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed9.pkl
new_der_log,eggho2,ei,20,500,0,-959.6407,-752.9929122,500,234.344,4236.768,4,100,0.001,0.01,0.001,new_der_log_ei_eggho2_L4_n100_rw1e3_m1e2_lr1e3_seed0.pkl
new_der_log,dropw2,ts,20,500,15,-1,-0.998853194,500,21.89,16438.128,4,100,0.001,0.01,0.001,new_der_log_ts_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed15.pkl
new_der_log,eggho2,ei,20,500,2,-959.6407,-888.923272,500,313.171,4169.067,4,100,0.001,0.01,0.001,new_der_log_ei_eggho2_L4_n100_rw1e3_m1e2_lr1e3_seed2.pkl
new_der_log,eggho2,ei,20,500,3,-959.6407,-888.6765237,500,285.075,4504.92,4,100,0.001,0.01,0.001,new_der_log_ei_eggho2_L4_n100_rw1e3_m1e2_lr1e3_seed3.pkl
new_der_log,dropw2,ts,20,500,13,-1,-0.936245252,500,21.924,17541.465,4,100,0.001,0.01,0.001,new_der_log_ts_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed13.pkl
new_der_log,eggho2,ei,20,500,4,-959.6407,-821.1962907,500,128.843,4575.676,4,100,0.001,0.01,0.001,new_der_log_ei_eggho2_L4_n100_rw1e3_m1e2_lr1e3_seed4.pkl
new_der_log,dropw2,ts,20,500,12,-1,-0.936245281,500,21.833,17859.012,4,100,0.001,0.01,0.001,new_der_log_ts_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed12.pkl
new_der_log,eggho2,ei,20,500,8,-959.6407,-716.1450057,500,244.472,4400.959,4,100,0.001,0.01,0.001,new_der_log_ei_eggho2_L4_n100_rw1e3_m1e2_lr1e3_seed8.pkl
new_der_log,eggho2,ei,20,500,7,-959.6407,-718.155821,500,352.478,4405.533,4,100,0.001,0.01,0.001,new_der_log_ei_eggho2_L4_n100_rw1e3_m1e2_lr1e3_seed7.pkl
new_der_log,eggho2,ei,20,500,10,-959.6407,-888.7119294,500,383.511,4260.814,4,100,0.001,0.01,0.001,new_der_log_ei_eggho2_L4_n100_rw1e3_m1e2_lr1e3_seed10.pkl
new_der_log,eggho2,ei,20,500,11,-959.6407,-821.1964265,500,152.618,4201.737,4,100,0.001,0.01,0.001,new_der_log_ei_eggho2_L4_n100_rw1e3_m1e2_lr1e3_seed11.pkl
new_der_log,dropw2,ts,20,500,14,-1,-0.936245304,500,22.03,18413.74,4,100,0.001,0.01,0.001,new_der_log_ts_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed14.pkl
new_der_log,eggho2,ei,20,500,12,-959.6407,-888.0768641,500,279.726,3896.58,4,100,0.001,0.01,0.001,new_der_log_ei_eggho2_L4_n100_rw1e3_m1e2_lr1e3_seed12.pkl
new_der_log,eggho2,ei,20,500,14,-959.6407,-821.1964585,500,178.008,4057.955,4,100,0.001,0.01,0.001,new_der_log_ei_eggho2_L4_n100_rw1e3_m1e2_lr1e3_seed14.pkl
new_der_log,eggho2,ei,20,500,13,-959.6407,-714.4947733,500,245.045,4308.071,4,100,0.001,0.01,0.001,new_der_log_ei_eggho2_L4_n100_rw1e3_m1e2_lr1e3_seed13.pkl
new_der_log,eggho2,ei,20,500,15,-959.6407,-821.1960268,500,160.015,4537.886,4,100,0.001,0.01,0.001,new_der_log_ei_eggho2_L4_n100_rw1e3_m1e2_lr1e3_seed15.pkl
new_der_log,eggho2,ei,20,500,17,-959.6407,-633.8422574,500,213.002,4323.08,4,100,0.001,0.01,0.001,new_der_log_ei_eggho2_L4_n100_rw1e3_m1e2_lr1e3_seed17.pkl
new_der_log,eggho2,ei,20,500,16,-959.6407,-894.5757265,500,395.18,4335.28,4,100,0.001,0.01,0.001,new_der_log_ei_eggho2_L4_n100_rw1e3_m1e2_lr1e3_seed16.pkl
new_der_log,eggho2,ei,20,500,19,-959.6407,-821.1961906,500,226.364,4362.642,4,100,0.001,0.01,0.001,new_der_log_ei_eggho2_L4_n100_rw1e3_m1e2_lr1e3_seed19.pkl
new_der_log,eggho2,ei,20,500,18,-959.6407,-586.3421156,500,289.845,4718.238,4,100,0.001,0.01,0.001,new_der_log_ei_eggho2_L4_n100_rw1e3_m1e2_lr1e3_seed18.pkl
new_der_log,rosenbrock4,ei,40,500,2,-1.01917,-1.019141454,169,137.2,839.543,4,100,0.001,0.01,0.001,new_der_log_ei_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed2.pkl
new_der_log,rosenbrock4,ei,40,500,4,-1.01917,-1.019140251,150,137.009,688.936,4,100,0.001,0.01,0.001,new_der_log_ei_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed4.pkl
new_der_log,dropw2,ts,20,500,18,-1,-0.936245326,500,21.744,17039.252,4,100,0.001,0.01,0.001,new_der_log_ts_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed18.pkl
new_der_log,rosenbrock4,ei,40,500,0,-1.01917,-1.018886863,500,445.832,5133.057,4,100,0.001,0.01,0.001,new_der_log_ei_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed0.pkl
new_der_log,dropw2,ts,20,500,17,-1,-0.991095109,500,21.684,17619.039,4,100,0.001,0.01,0.001,new_der_log_ts_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed17.pkl
new_der_log,rosenbrock4,ei,40,500,1,-1.01917,-1.019163479,500,318.45,4996.158,4,100,0.001,0.01,0.001,new_der_log_ei_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed1.pkl
new_der_log,dropw2,ts,20,500,16,-1,-0.936244883,500,21.622,17970.785,4,100,0.001,0.01,0.001,new_der_log_ts_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed16.pkl
new_der_log,rosenbrock4,ei,40,500,5,-1.01917,-1.01915505,320,185.481,2348.342,4,100,0.001,0.01,0.001,new_der_log_ei_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed5.pkl
new_der_log,dropw2,ts,20,500,19,-1,-0.936245288,500,21.681,18316.662,4,100,0.001,0.01,0.001,new_der_log_ts_dropw2_L4_n100_rw1e3_m1e2_lr1e3_seed19.pkl
new_der_log,rosenbrock4,ei,40,500,14,-1.01917,-1.019156658,131,71.089,577.611,4,100,0.001,0.01,0.001,new_der_log_ei_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed14.pkl
new_der_log,rosenbrock4,ei,40,500,3,-1.01917,-1.019153799,500,343.133,4924.673,4,100,0.001,0.01,0.001,new_der_log_ei_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed3.pkl
new_der_log,rosenbrock4,ei,40,500,7,-1.01917,-1.019167205,379,289.213,3141.554,4,100,0.001,0.01,0.001,new_der_log_ei_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed7.pkl
new_der_log,rosenbrock4,ei,40,500,8,-1.01917,-1.019137847,373,249.398,3092.991,4,100,0.001,0.01,0.001,new_der_log_ei_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed8.pkl
new_der_log,rosenbrock4,ei,40,500,12,-1.01917,-1.019167984,364,305.236,3131.298,4,100,0.001,0.01,0.001,new_der_log_ei_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed12.pkl
new_der_log,rosenbrock4,ei,40,500,6,-1.01917,-1.01916217,500,295.473,4899.886,4,100,0.001,0.01,0.001,new_der_log_ei_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed6.pkl
new_der_log,rosenbrock4,ei,40,500,16,-1.01917,-1.019119215,362,151.219,2875.615,4,100,0.001,0.01,0.001,new_der_log_ei_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed16.pkl
new_der_log,rosenbrock4,ei,40,500,9,-1.01917,-1.019153693,500,244.246,4827.838,4,100,0.001,0.01,0.001,new_der_log_ei_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed9.pkl
new_der_log,rosenbrock4,ei,40,500,13,-1.01917,-1.019160243,450,407.084,4483.312,4,100,0.001,0.01,0.001,new_der_log_ei_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed13.pkl
new_der_log,rosenbrock4,ei,40,500,15,-1.01917,-1.019153679,436,306.342,4129.04,4,100,0.001,0.01,0.001,new_der_log_ei_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed15.pkl
new_der_log,rosenbrock4,ei,40,500,17,-1.01917,-1.019167446,416,255.702,3806.733,4,100,0.001,0.01,0.001,new_der_log_ei_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed17.pkl
new_der_log,rosenbrock4,ei,40,500,10,-1.01917,-1.019137261,500,306.539,5194.13,4,100,0.001,0.01,0.001,new_der_log_ei_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed10.pkl
new_der_log,rosenbrock4,ts,40,500,1,-1.01917,-1.019131431,145,7.674,1818.464,4,100,0.001,0.01,0.001,new_der_log_ts_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed1.pkl
new_der_log,rosenbrock4,ei,40,500,18,-1.01917,-1.019153575,373,222.912,3132.914,4,100,0.001,0.01,0.001,new_der_log_ei_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed18.pkl
new_der_log,rosenbrock4,ei,40,500,11,-1.01917,-1.019153351,500,265.265,5110.872,4,100,0.001,0.01,0.001,new_der_log_ei_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed11.pkl
new_der_log,eggho2,ts,20,500,0,-959.6407,-934.631641,500,21.539,18131.789,4,100,0.001,0.01,0.001,new_der_log_ts_eggho2_L4_n100_rw1e3_m1e2_lr1e3_seed0.pkl
new_der_log,rosenbrock4,ei,40,500,19,-1.01917,-1.019161094,500,501.33,4985.955,4,100,0.001,0.01,0.001,new_der_log_ei_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed19.pkl
new_der_log,eggho2,ts,20,500,7,-959.6407,-936.6037763,500,21.095,18221.495,4,100,0.001,0.01,0.001,new_der_log_ts_eggho2_L4_n100_rw1e3_m1e2_lr1e3_seed7.pkl
new_der_log,eggho2,ts,20,500,13,-959.6407,-935.2056185,500,21.332,18034.598,4,100,0.001,0.01,0.001,new_der_log_ts_eggho2_L4_n100_rw1e3_m1e2_lr1e3_seed13.pkl
new_der_log,rosenbrock4,ts,40,500,6,-1.01917,-1.019170935,294,15.022,6617.886,4,100,0.001,0.01,0.001,new_der_log_ts_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed6.pkl
new_der_log,rosenbrock4,ts,40,500,11,-1.01917,-1.019159229,280,14.701,6434.61,4,100,0.001,0.01,0.001,new_der_log_ts_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed11.pkl
new_der_log,rosenbrock4,ts,40,500,10,-1.01917,-1.019170123,317,16.34,7610.437,4,100,0.001,0.01,0.001,new_der_log_ts_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed10.pkl
new_der_log,rosenbrock4,ts,40,500,0,-1.01917,-1.019157013,404,21.251,11972.928,4,100,0.001,0.01,0.001,new_der_log_ts_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed0.pkl
new_der_log,rosenbrock4,ts,40,500,9,-1.01917,-1.019156644,387,20.236,11069.724,4,100,0.001,0.01,0.001,new_der_log_ts_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed9.pkl
new_der_log,rosenbrock4,ts,40,500,3,-1.01917,-1.019160151,436,23.299,13516.224,4,100,0.001,0.01,0.001,new_der_log_ts_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed3.pkl
new_der_log,rosenbrock4,ts,40,500,18,-1.01917,-1.019162718,345,17.662,8892.006,4,100,0.001,0.01,0.001,new_der_log_ts_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed18.pkl
new_der_log,rosenbrock4,ts,40,500,2,-1.01917,-1.019159481,500,26.263,17692.814,4,100,0.001,0.01,0.001,new_der_log_ts_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed2.pkl
new_der_log,hartmann6,ei,60,500,0,-3.32237,-3.050350604,500,1652.767,5753.654,4,100,0.001,0.01,0.001,new_der_log_ei_hartmann6_L4_n100_rw1e3_m1e2_lr1e3_seed0.pkl
new_der_log,rosenbrock4,ts,40,500,4,-1.01917,-1.01915872,500,26.649,17633.099,4,100,0.001,0.01,0.001,new_der_log_ts_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed4.pkl
new_der_log,rosenbrock4,ts,40,500,5,-1.01917,-1.019163673,500,25.815,17659.649,4,100,0.001,0.01,0.001,new_der_log_ts_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed5.pkl
new_der_log,rosenbrock4,ts,40,500,7,-1.01917,-1.019169294,500,26.461,17984.838,4,100,0.001,0.01,0.001,new_der_log_ts_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed7.pkl
new_der_log,rosenbrock4,ts,40,500,8,-1.01917,-1.019152987,500,26.059,17988.718,4,100,0.001,0.01,0.001,new_der_log_ts_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed8.pkl
new_der_log,rosenbrock4,ts,40,500,12,-1.01917,-1.019169195,500,26.799,18185.684,4,100,0.001,0.01,0.001,new_der_log_ts_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed12.pkl
new_der_log,rosenbrock4,ts,40,500,13,-1.01917,-1.019165608,500,25.947,17580.509,4,100,0.001,0.01,0.001,new_der_log_ts_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed13.pkl
new_der_log,hartmann6,ei,60,500,3,-3.32237,-3.190264913,500,1488.655,5444.893,4,100,0.001,0.01,0.001,new_der_log_ei_hartmann6_L4_n100_rw1e3_m1e2_lr1e3_seed3.pkl
new_der_log,rosenbrock4,ts,40,500,16,-1.01917,-1.019168924,454,23.359,14620.091,4,100,0.001,0.01,0.001,new_der_log_ts_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed16.pkl
