model,objective,acquisition,num_initial_points,num_steps,seed,true_min,found_minimum,steps_taken,acquisition_runtime,optimize_runtime,ensemble_size,num_hidden_layers,units,pickle_file
de,goldstein2,ei,20,500,8,-3.12913,-3.126254402,88,226.852,476.03,7,5,50,de_ei_goldstein2_L5_n50_es7_seed8.pkl
de,goldstein2,ts,20,500,5,-3.12913,-3.128653843,81,33.496,1126.058,7,5,50,de_ts_goldstein2_L5_n50_es7_seed5.pkl
de,hartmann3,ei,30,500,1,-3.86278,-3.862737883,142,332.653,881.516,7,5,50,de_ei_hartmann3_L5_n50_es7_seed1.pkl
de,hartmann3,ei,30,500,0,-3.86278,-3.862604349,216,477.892,1812.876,7,5,50,de_ei_hartmann3_L5_n50_es7_seed0.pkl
de,hartmann3,ei,30,500,2,-3.86278,-3.861826077,215,464.068,1798.436,7,5,50,de_ei_hartmann3_L5_n50_es7_seed2.pkl
de,hartmann3,ei,30,500,5,-3.86278,-3.862490351,171,408.599,1220.003,7,5,50,de_ei_hartmann3_L5_n50_es7_seed5.pkl
de,hartmann3,ei,30,500,6,-3.86278,-3.862589941,185,441.39,1368.638,7,5,50,de_ei_hartmann3_L5_n50_es7_seed6.pkl
de,hartmann3,ei,30,500,7,-3.86278,-3.862486167,134,308.809,811.717,7,5,50,de_ei_hartmann3_L5_n50_es7_seed7.pkl
de,hartmann3,ei,30,500,13,-3.86278,-3.862761404,142,348.264,982.878,7,5,50,de_ei_hartmann3_L5_n50_es7_seed13.pkl
de,hartmann3,ei,30,500,10,-3.86278,-3.862653831,226,449.353,1926.171,7,5,50,de_ei_hartmann3_L5_n50_es7_seed10.pkl
de,hartmann3,ei,30,500,18,-3.86278,-3.862647259,174,396.315,1348.837,7,5,50,de_ei_hartmann3_L5_n50_es7_seed18.pkl
de,hartmann3,ei,30,500,16,-3.86278,-3.862369766,224,504.758,1880.119,7,5,50,de_ei_hartmann3_L5_n50_es7_seed16.pkl
de,hartmann3,ei,30,500,19,-3.86278,-3.862581675,196,431.464,1642.289,7,5,50,de_ei_hartmann3_L5_n50_es7_seed19.pkl
de,hartmann3,ts,30,500,9,-3.86278,-3.862324089,32,11.202,247.472,7,5,50,de_ts_hartmann3_L5_n50_es7_seed9.pkl
de,hartmann3,ts,30,500,13,-3.86278,-3.86199993,46,15.554,465.08,7,5,50,de_ts_hartmann3_L5_n50_es7_seed13.pkl
de,hartmann3,ts,30,500,15,-3.86278,-3.862358529,68,25.385,775.13,7,5,50,de_ts_hartmann3_L5_n50_es7_seed15.pkl
de,hartmann3,ts,30,500,2,-3.86278,-3.860872488,37,17.477,338.287,7,5,50,de_ts_hartmann3_L5_n50_es7_seed2.pkl
de,hartmann3,ts,30,500,1,-3.86278,-3.862385186,45,20.567,465.938,7,5,50,de_ts_hartmann3_L5_n50_es7_seed1.pkl
de,hartmann3,ts,30,500,4,-3.86278,-3.859568137,51,24.608,522.301,7,5,50,de_ts_hartmann3_L5_n50_es7_seed4.pkl
de,hartmann3,ei,30,500,4,-3.86278,-3.861678697,78,280.356,454.982,7,5,50,de_ei_hartmann3_L5_n50_es7_seed4.pkl
de,hartmann3,ei,30,500,3,-3.86278,-3.86157645,93,335.415,624.945,7,5,50,de_ei_hartmann3_L5_n50_es7_seed3.pkl
de,hartmann3,ts,30,500,7,-3.86278,-3.862232479,65,32.799,829.466,7,5,50,de_ts_hartmann3_L5_n50_es7_seed7.pkl
de,hartmann3,ei,30,500,8,-3.86278,-3.860785295,119,402.562,827.863,7,5,50,de_ei_hartmann3_L5_n50_es7_seed8.pkl
de,hartmann3,ts,30,500,8,-3.86278,-3.861357693,80,38.358,1196.931,7,5,50,de_ts_hartmann3_L5_n50_es7_seed8.pkl
de,hartmann3,ts,30,500,0,-3.86278,-3.860981898,112,53.001,1961.052,7,5,50,de_ts_hartmann3_L5_n50_es7_seed0.pkl
de,hartmann3,ts,30,500,5,-3.86278,-3.862638597,102,50.897,1787.432,7,5,50,de_ts_hartmann3_L5_n50_es7_seed5.pkl
de,hartmann3,ei,30,500,9,-3.86278,-3.86153755,240,768.315,2701.44,7,5,50,de_ei_hartmann3_L5_n50_es7_seed9.pkl
de,hartmann3,ts,30,500,3,-3.86278,-3.862249701,156,74.412,3524.379,7,5,50,de_ts_hartmann3_L5_n50_es7_seed3.pkl
de,hartmann3,ts,30,500,6,-3.86278,-3.862314054,150,74.641,3542.189,7,5,50,de_ts_hartmann3_L5_n50_es7_seed6.pkl
de,michal2,ts,20,500,0,-1.8013034,-1.800867602,27,9.272,140.48,7,5,50,de_ts_michal2_L5_n50_es7_seed0.pkl
de,michal2,ei,20,500,3,-1.8013034,-1.800882556,43,98.97,164.165,7,5,50,de_ei_michal2_L5_n50_es7_seed3.pkl
de,michal2,ei,20,500,0,-1.8013034,-1.799895619,46,114.808,165.783,7,5,50,de_ei_michal2_L5_n50_es7_seed0.pkl
de,michal2,ts,20,500,3,-1.8013034,-1.800073352,23,8.938,158.6,7,5,50,de_ts_michal2_L5_n50_es7_seed3.pkl
de,michal2,ts,20,500,5,-1.8013034,-1.800477569,30,11.605,231.753,7,5,50,de_ts_michal2_L5_n50_es7_seed5.pkl
de,michal2,ei,20,500,4,-1.8013034,-1.800277033,67,164.661,270.865,7,5,50,de_ei_michal2_L5_n50_es7_seed4.pkl
de,michal2,ei,20,500,9,-1.8013034,-1.799926826,63,153.837,287.399,7,5,50,de_ei_michal2_L5_n50_es7_seed9.pkl
de,michal2,ts,20,500,1,-1.8013034,-1.800149564,40,15.358,312.215,7,5,50,de_ts_michal2_L5_n50_es7_seed1.pkl
de,michal2,ts,20,500,4,-1.8013034,-1.799588025,44,17.169,349.727,7,5,50,de_ts_michal2_L5_n50_es7_seed4.pkl
de,michal2,ts,20,500,9,-1.8013034,-1.799704941,36,14.897,281.139,7,5,50,de_ts_michal2_L5_n50_es7_seed9.pkl
de,michal2,ts,20,500,6,-1.8013034,-1.800569352,55,22.576,535.677,7,5,50,de_ts_michal2_L5_n50_es7_seed6.pkl
de,michal2,ts,20,500,2,-1.8013034,-1.800531906,73,28,728.248,7,5,50,de_ts_michal2_L5_n50_es7_seed2.pkl
de,michal2,ei,20,500,1,-1.8013034,-1.799543634,123,310.302,741.717,7,5,50,de_ei_michal2_L5_n50_es7_seed1.pkl
de,michal2,ei,20,500,7,-1.8013034,-1.800197609,130,321.515,764.814,7,5,50,de_ei_michal2_L5_n50_es7_seed7.pkl
de,michal2,ei,20,500,2,-1.8013034,-1.800059354,147,355.513,1005.866,7,5,50,de_ei_michal2_L5_n50_es7_seed2.pkl
de,michal2,ts,20,500,7,-1.8013034,-1.800965598,79,31.675,1000.416,7,5,50,de_ts_michal2_L5_n50_es7_seed7.pkl
de,michal2,ei,20,500,5,-1.8013034,-1.799928634,161,365.298,1083.955,7,5,50,de_ei_michal2_L5_n50_es7_seed5.pkl
de,michal2,ei,20,500,8,-1.8013034,-1.800547498,171,413.303,1169.258,7,5,50,de_ei_michal2_L5_n50_es7_seed8.pkl
de,michal2,ei,20,500,6,-1.8013034,-1.800991213,209,477.731,1879.243,7,5,50,de_ei_michal2_L5_n50_es7_seed6.pkl
de,michal2,ts,20,500,8,-1.8013034,-1.801182184,134,56.931,2642.975,7,5,50,de_ts_michal2_L5_n50_es7_seed8.pkl
de,rosenbrock4,ei,40,500,0,-1.01917,-1.019151632,110,375.792,845.274,7,5,50,de_ei_rosenbrock4_L5_n50_es7_seed0.pkl
de,rosenbrock4,ei,40,500,2,-1.01917,-1.019166081,142,479.985,1251.207,7,5,50,de_ei_rosenbrock4_L5_n50_es7_seed2.pkl
de,rosenbrock4,ei,40,500,4,-1.01917,-1.019155933,150,526.84,1416.79,7,5,50,de_ei_rosenbrock4_L5_n50_es7_seed4.pkl
de,rosenbrock4,ei,40,500,3,-1.01917,-1.019173529,172,589.719,1736.061,7,5,50,de_ei_rosenbrock4_L5_n50_es7_seed3.pkl
de,rosenbrock4,ei,40,500,1,-1.01917,-1.019167164,187,633.976,2003.902,7,5,50,de_ei_rosenbrock4_L5_n50_es7_seed1.pkl
de,rosenbrock4,ei,40,500,6,-1.01917,-1.019164952,106,374.225,832.627,7,5,50,de_ei_rosenbrock4_L5_n50_es7_seed6.pkl
de,rosenbrock4,ei,40,500,9,-1.01917,-1.019139641,49,184.328,304.479,7,5,50,de_ei_rosenbrock4_L5_n50_es7_seed9.pkl
de,rosenbrock4,ei,40,500,5,-1.01917,-1.019155964,140,469.059,1219.67,7,5,50,de_ei_rosenbrock4_L5_n50_es7_seed5.pkl
