model,objective,acquisition,num_initial_points,num_steps,seed,true_min,found_minimum,steps_taken,acquisition_runtime,optimize_runtime,ensemble_size,num_hidden_layers,units,e_num_hidden_layers,e_units,init_buffer_iters,lr,pickle_file
deup,scaled_branin,ei,20,500,0,-1.047393,-1.047041435,187,740.042,3211.408,7,5,50,5,128,2,0.001,deup_ei_scaled_branin_L5_n50_eL5_en128_lr1e3_es7_seed0.pkl
deup,scaled_branin,ei,20,500,8,-1.047393,-1.046594304,307,1423.389,7290.93,7,5,50,5,128,2,0.001,deup_ei_scaled_branin_L5_n50_eL5_en128_lr1e3_es7_seed8.pkl
deup,scaled_branin,ei,20,500,6,-1.047393,-1.047192272,302,1581.273,7263.194,7,5,50,5,128,2,0.001,deup_ei_scaled_branin_L5_n50_eL5_en128_lr1e3_es7_seed6.pkl
deup,scaled_branin,ei,20,500,3,-1.047393,-1.046829299,310,1521.925,7451.764,7,5,50,5,128,2,0.001,deup_ei_scaled_branin_L5_n50_eL5_en128_lr1e3_es7_seed3.pkl
deup,scaled_branin,ei,20,500,4,-1.047393,-1.047008289,27,117.944,308.409,7,5,50,5,128,2,0.001,deup_ei_scaled_branin_L5_n50_eL5_en128_lr1e3_es7_seed4.pkl
deup,scaled_branin,ei,20,500,2,-1.047393,-1.047129293,158,575.901,2470.781,7,5,50,5,128,2,0.001,deup_ei_scaled_branin_L5_n50_eL5_en128_lr1e3_es7_seed2.pkl
deup,scaled_branin,ei,20,500,7,-1.047393,-1.046429461,243,1025.787,4958.36,7,5,50,5,128,2,0.001,deup_ei_scaled_branin_L5_n50_eL5_en128_lr1e3_es7_seed7.pkl
deup,scaled_branin,ts,20,500,0,-1.047393,-1.047380769,8,8.229,130.367,7,5,50,5,128,2,0.001,deup_ts_scaled_branin_L5_n50_eL5_en128_lr1e3_es7_seed0.pkl
deup,scaled_branin,ts,20,500,1,-1.047393,-1.046914902,14,17.855,223.424,7,5,50,5,128,2,0.001,deup_ts_scaled_branin_L5_n50_eL5_en128_lr1e3_es7_seed1.pkl
deup,scaled_branin,ts,20,500,4,-1.047393,-1.047341264,19,26.392,323.872,7,5,50,5,128,2,0.001,deup_ts_scaled_branin_L5_n50_eL5_en128_lr1e3_es7_seed4.pkl
deup,scaled_branin,ts,20,500,7,-1.047393,-1.046851786,13,15.742,219.646,7,5,50,5,128,2,0.001,deup_ts_scaled_branin_L5_n50_eL5_en128_lr1e3_es7_seed7.pkl
deup,scaled_branin,ts,20,500,5,-1.047393,-1.047224035,36,75.169,731.69,7,5,50,5,128,2,0.001,deup_ts_scaled_branin_L5_n50_eL5_en128_lr1e3_es7_seed5.pkl
deup,scaled_branin,ts,20,500,6,-1.047393,-1.046947228,70,237.435,2177.791,7,5,50,5,128,2,0.001,deup_ts_scaled_branin_L5_n50_eL5_en128_lr1e3_es7_seed6.pkl
deup,scaled_branin,ts,20,500,8,-1.047393,-1.046426628,22,46.669,484.258,7,5,50,5,128,2,0.001,deup_ts_scaled_branin_L5_n50_eL5_en128_lr1e3_es7_seed8.pkl
deup,scaled_branin,ts,20,500,9,-1.047393,-1.046680574,65,160.08,1466.17,7,5,50,5,128,2,0.001,deup_ts_scaled_branin_L5_n50_eL5_en128_lr1e3_es7_seed9.pkl
deup,scaled_branin,ts,20,500,2,-1.047393,-1.047281781,88,279.677,2653.979,7,5,50,5,128,2,0.001,deup_ts_scaled_branin_L5_n50_eL5_en128_lr1e3_es7_seed2.pkl
deup,scaled_branin,ts,20,500,3,-1.047393,-1.047379769,174,997.28,9116.028,7,5,50,5,128,2,0.001,deup_ts_scaled_branin_L5_n50_eL5_en128_lr1e3_es7_seed3.pkl
deup,shekel4,ei,40,500,0,-10.5363,-2.607297655,500,4490.283,22343.065,7,5,50,5,128,2,0.001,deup_ei_shekel4_L5_n50_eL5_en128_lr1e3_es7_seed0.pkl
deup,shekel4,ei,40,500,2,-10.5363,-4.36049039,500,4277.616,22453.279,7,5,50,5,128,2,0.001,deup_ei_shekel4_L5_n50_eL5_en128_lr1e3_es7_seed2.pkl
deup,shekel4,ei,40,500,5,-10.5363,-3.931807753,500,3649.638,22202.27,7,5,50,5,128,2,0.001,deup_ei_shekel4_L5_n50_eL5_en128_lr1e3_es7_seed5.pkl
deup,shekel4,ei,40,500,6,-10.5363,-4.844656471,500,3407.225,22923.77,7,5,50,5,128,2,0.001,deup_ei_shekel4_L5_n50_eL5_en128_lr1e3_es7_seed6.pkl
deup,shekel4,ei,40,500,7,-10.5363,-3.838592763,500,3017.577,22399.99,7,5,50,5,128,2,0.001,deup_ei_shekel4_L5_n50_eL5_en128_lr1e3_es7_seed7.pkl
deup,shekel4,ei,40,500,9,-10.5363,-4.406450037,500,2793.361,22847.538,7,5,50,5,128,2,0.001,deup_ei_shekel4_L5_n50_eL5_en128_lr1e3_es7_seed9.pkl
deup,shekel4,ei,40,500,8,-10.5363,-4.675159801,500,3639.658,22115.098,7,5,50,5,128,2,0.001,deup_ei_shekel4_L5_n50_eL5_en128_lr1e3_es7_seed8.pkl
