model,objective,acquisition,num_initial_points,num_steps,seed,true_min,found_minimum,steps_taken,acquisition_runtime,optimize_runtime,num_hidden_layers,units,rate,num_passes,lr,pickle_file
mc,eggho2,ts,20,500,1,-959.6407,-959.45235528024,210,84.184,3620.597,5,100,0.1,50,0.001,mc_ts_eggho2_L5_n100_dr1e1_lr1e3_seed1.pkl
mc,rosenbrock4,ei,40,500,6,-1.01917,-1.0190505730108408,500,3382.702,4958.665,5,100,0.1,50,0.001,mc_ei_rosenbrock4_L5_n100_dr1e1_lr1e3_seed6.pkl
mc,eggho2,ts,20,500,6,-959.6407,-905.0686280229695,500,152.215,18935.913,5,100,0.1,50,0.001,mc_ts_eggho2_L5_n100_dr1e1_lr1e3_seed6.pkl
mc,rosenbrock4,ei,40,500,8,-1.01917,-1.0190281043693645,500,3124.175,5136.579,5,100,0.1,50,0.001,mc_ei_rosenbrock4_L5_n100_dr1e1_lr1e3_seed8.pkl
mc,dropw2,ts,20,500,5,-1.0,-0.9362453164725553,500,197.626,14832.355,5,100,0.1,50,0.001,mc_ts_dropw2_L5_n100_dr1e1_lr1e3_seed5.pkl
mc,eggho2,ts,20,500,8,-959.6407,-894.4577798004971,500,153.963,20317.284,5,100,0.1,50,0.001,mc_ts_eggho2_L5_n100_dr1e1_lr1e3_seed8.pkl
mc,dropw2,ts,20,500,7,-1.0,-0.9362453054553128,500,199.631,15129.378,5,100,0.1,50,0.001,mc_ts_dropw2_L5_n100_dr1e1_lr1e3_seed7.pkl
mc,dropw2,ts,20,500,1,-1.0,-0.9362453194784746,500,201.664,15965.049,5,100,0.1,50,0.001,mc_ts_dropw2_L5_n100_dr1e1_lr1e3_seed1.pkl
mc,dropw2,ts,20,500,3,-1.0,-0.9362453269069086,500,199.656,16283.982,5,100,0.1,50,0.001,mc_ts_dropw2_L5_n100_dr1e1_lr1e3_seed3.pkl
mc,rosenbrock4,ei,40,500,1,-1.01917,-1.019025197103878,500,3148.507,5125.346,5,100,0.1,50,0.001,mc_ei_rosenbrock4_L5_n100_dr1e1_lr1e3_seed1.pkl
mc,rosenbrock4,ei,40,500,3,-1.01917,-1.0188868175765646,500,3187.228,5049.962,5,100,0.1,50,0.001,mc_ei_rosenbrock4_L5_n100_dr1e1_lr1e3_seed3.pkl
mc,dropw2,ts,20,500,9,-1.0,-0.9362450050057127,500,203.155,16640.878,5,100,0.1,50,0.001,mc_ts_dropw2_L5_n100_dr1e1_lr1e3_seed9.pkl
mc,rosenbrock4,ei,40,500,5,-1.01917,-1.0189593678707642,500,3501.016,5017.876,5,100,0.1,50,0.001,mc_ei_rosenbrock4_L5_n100_dr1e1_lr1e3_seed5.pkl
mc,rosenbrock4,ts,40,500,8,-1.01917,-1.019119181899555,164,68.898,2238.675,5,100,0.1,50,0.001,mc_ts_rosenbrock4_L5_n100_dr1e1_lr1e3_seed8.pkl
